name,type,defaultvalue,description
historicalLoanTotalCount,Integer,-1,历史借款总次数
historicalFullLoanTotalCount,Integer,-1,历史满额借款总次数
historicalContinuousFullLoanMaxCount,Integer,-1,历史连续满额借款最大次数
historicalGPSDistanceFromApplicationPlaceOver5KMTotalCount,Integer,-1,历史GPS定位距离申请地>5km的总次数
historicalLoanTotalAmount,Decimal,-1,历史借款总金额
historicalLoanAverageAmount,Decimal,-1,历史平均借款金额
historicalLoanMaxAmount,Decimal,-1,历史最大借款金额
lastLoanAmount,Decimal,-1,上次借款金额
thisLoanAmount,Decimal,-1,本次借款金额
historicalLoanTotalLimitAmount,Decimal,-1,历史借款总额度
historicalLoanAverageLimitAmount,Decimal,-1,历史平均额度
historicalLoanMaxLimitAmount,Decimal,-1,历史最大额度
lastLoanLimitAmount,Decimal,-1,上次借款额度
thisLoanLimitAmount,Decimal,-1,本次借款额度
historicalLimitAmountUsageRate,Float,-1,历史平均额度使用率
historicalLoanMaxDays,Integer,-1,历史最大借款天数
historicalLoanAverageDays,Double,-1,历史平均借款天数
circleLoanAverageDays,Double,-1,平均复借天数
lastLoanDays,Integer,-1,上次借款天数
thisLoanDays,Integer,-1,本次借款天数
historicalLoanDayAwayFromPayDayMaxDays,Integer,-1,历史借款日离发薪日最大天数
historicalLoanDayAwayFromPayDayMinDays,Integer,-1,历史借款日离发薪日最少天数
historicalLoanDayAwayFromPayDayAverageDays,Integer,-1,历史借款日离发薪日平均天数
thisLoanDayAwayFromPayDayDays,Integer,-1,本次借款日离发薪日天数
monthlyPayDay,Integer,-1,每月发薪日
lastLoanTime,Date,1970-1-1,上次借款时间
thisLoanTime,Date,1970-1-1,本次借款时间
lastRepaymentTime,Date,1970-1-1,上次还款时间
currentGPSAwayFromApplicationPostionDistance,Float,-1,当前GPS定位距离申请时的距离(km)
historicalGPSAwayFromApplicationPostionAverageDistance,Float,-1,历史GPS定位距离申请时的平均距离（km）
historicalGPSAwayFromApplicationPostionMaxDistance,Float,-1,历史GPS定位距离申请时的最大距离（km）
